order_id,customer_id,product_id,store_id,quantity,unit_price,discount_amount,tax_amount,sale_amount,sale_date,payment_method,load_type
ORD202605060000016,CUST003858,PROD00780,STORE0023,1,474.88,117.72,23.74,380.9,2026-05-06,CASH,DELTA
ORD202605060000017,CUST001791,PROD00195,STORE0034,1,3999.25,90.17,199.96,4109.04,2026-05-06,CASH,DELTA
ORD202605060000018,CUST001388,PROD00652,STORE0052,5,4266.15,166.98,1066.54,22230.31,2026-05-06,UPI,DELTA
ORD202605060000019,CUST000214,PROD00932,STORE0083,1,832.74,115.23,41.64,759.15,2026-05-06,UPI,DELTA
ORD202605060000020,CUST002889,PROD00852,STORE0053,3,2145.67,7.09,321.85,6751.77,2026-05-06,CASH,DELTA
ORD202605060000021,CUST000856,PROD00029,STORE0069,3,3011.24,154.8,451.69,9330.61,2026-05-06,CARD,DELTA
ORD202605060000022,CUST000540,PROD00324,STORE0011,5,1731.93,60.23,432.98,9032.4,2026-05-06,CARD,DELTA
ORD202605060000023,CUST003454,PROD00591,STORE0031,3,4848.08,142.49,727.21,15128.96,2026-05-06,CASH,DELTA
ORD202605060000024,CUST000948,PROD00967,STORE0009,1,1675.69,102.85,83.78,1656.62,2026-05-06,UPI,DELTA
ORD202605060000025,CUST000285,PROD00022,STORE0031,1,3401.69,66.66,170.08,3505.11,2026-05-06,CASH,DELTA
ORD202605060000026,CUST001991,PROD00033,STORE0049,3,4951.05,72.35,742.66,15523.46,2026-05-06,NETBANKING,DELTA
ORD202605060000027,CUST002190,PROD00190,STORE0054,1,2904.86,32.26,145.24,3017.84,2026-05-06,NETBANKING,DELTA
ORD202605060000028,CUST000957,PROD00327,STORE0071,5,846.26,43.18,211.57,4399.69,2026-05-06,NETBANKING,DELTA
ORD202605060000029,CUST003094,PROD00127,STORE0049,3,4279.37,56.37,641.91,13423.65,2026-05-06,CASH,DELTA
ORD202605060000030,CUST002348,PROD00605,STORE0058,5,1210.38,194.4,302.6,6160.1,2026-05-06,CASH,DELTA
ORD202605060000031,CUST001208,PROD00945,STORE0021,2,2950.8,22.64,295.08,6174.04,2026-05-06,CASH,DELTA
ORD202605060000032,CUST003938,PROD00746,STORE0003,1,2567.71,120.0,128.39,2576.1,2026-05-06,CASH,DELTA
ORD202605060000033,CUST002129,PROD00478,STORE0032,3,1544.68,40.83,231.7,4824.91,2026-05-06,CASH,DELTA
ORD202605060000034,CUST002093,PROD00471,STORE0091,4,910.28,123.23,182.06,3699.95,2026-05-06,UPI,DELTA
ORD202605060000035,CUST003646,PROD00021,STORE0071,1,208.76,189.87,10.44,29.33,2026-05-06,UPI,DELTA
ORD202605060000036,CUST002780,PROD00360,STORE0090,5,4767.84,124.25,1191.96,24906.91,2026-05-06,CARD,DELTA
ORD202605060000037,CUST002661,PROD00865,STORE0005,1,2680.47,57.66,134.02,2756.83,2026-05-06,CARD,DELTA
ORD202605060000038,CUST002692,PROD00092,STORE0094,1,4318.64,164.72,215.93,4369.85,2026-05-06,NETBANKING,DELTA
ORD202605060000039,CUST002288,PROD00113,STORE0086,3,4649.34,7.07,697.4,14638.35,2026-05-06,CARD,DELTA
ORD202605060000040,CUST002161,PROD00875,STORE0021,1,2540.36,138.9,127.02,2528.48,2026-05-06,CARD,DELTA
ORD202605060000041,CUST001805,PROD00675,STORE0014,1,912.47,67.51,45.62,890.58,2026-05-06,NETBANKING,DELTA
ORD202605060000042,CUST001503,PROD00660,STORE0028,1,4691.94,34.84,234.6,4891.7,2026-05-06,CASH,DELTA
ORD202605060000043,CUST003486,PROD00214,STORE0012,5,2495.97,132.31,623.99,12971.53,2026-05-06,CASH,DELTA
ORD202605060000044,CUST000348,PROD00973,STORE0008,5,4814.66,157.59,1203.66,25119.37,2026-05-06,UPI,DELTA
ORD202605060000045,CUST001804,PROD00816,STORE0082,2,1030.6,74.08,103.06,2090.18,2026-05-06,UPI,DELTA
ORD202605060000046,CUST002703,PROD00255,STORE0086,1,3971.39,159.21,198.57,4010.75,2026-05-06,NETBANKING,DELTA
ORD202605060000047,CUST000896,PROD00322,STORE0004,3,830.4,30.08,124.56,2585.68,2026-05-06,CASH,DELTA
ORD202605060000048,CUST002466,PROD00223,STORE0047,1,441.47,163.06,22.07,300.48,2026-05-06,CARD,DELTA
ORD202605060000049,CUST001893,PROD00452,STORE0100,5,1220.75,143.89,305.19,6265.05,2026-05-06,UPI,DELTA
ORD202605060000050,CUST000882,PROD00571,STORE0073,1,3616.51,78.93,180.83,3718.41,2026-05-06,NETBANKING,DELTA
ORD202605060000051,CUST001067,PROD00747,STORE0040,1,968.01,138.68,48.4,877.73,2026-05-06,NETBANKING,DELTA
ORD202605060000052,CUST003084,PROD00250,STORE0061,1,4183.33,50.81,209.17,4341.69,2026-05-06,NETBANKING,DELTA
ORD202605060000053,CUST004276,PROD00597,STORE0009,5,518.11,72.62,129.53,2647.46,2026-05-06,UPI,DELTA
ORD202605060000054,CUST000458,PROD00533,STORE0001,5,1686.2,78.5,421.55,8774.05,2026-05-06,CASH,DELTA
ORD202605060000055,CUST004168,PROD00051,STORE0021,5,4897.72,172.29,1224.43,25540.74,2026-05-06,CARD,DELTA
ORD202605060000056,CUST003589,PROD00493,STORE0008,4,1114.66,12.3,222.93,4669.27,2026-05-06,NETBANKING,DELTA
ORD202605060000057,CUST001795,PROD00696,STORE0034,2,734.48,137.17,73.45,1405.24,2026-05-06,UPI,DELTA
ORD202605060000058,CUST001305,PROD00316,STORE0031,4,1258.25,90.36,251.65,5194.29,2026-05-06,CARD,DELTA
ORD202605060000059,CUST003316,PROD00297,STORE0029,4,4383.26,14.12,876.65,18395.57,2026-05-06,UPI,DELTA
ORD202605060000060,CUST002655,PROD00033,STORE0014,1,318.45,22.1,15.92,312.27,2026-05-06,CASH,DELTA
ORD202605060000061,CUST003968,PROD00272,STORE0046,5,3399.95,98.59,849.99,17751.15,2026-05-06,CARD,DELTA
ORD202605060000062,CUST001073,PROD00100,STORE0025,5,916.3,49.9,229.08,4760.68,2026-05-06,NETBANKING,DELTA
ORD202605060000063,CUST000721,PROD00168,STORE0026,1,4389.17,183.65,219.46,4424.98,2026-05-06,UPI,DELTA
ORD202605060000064,CUST004523,PROD00645,STORE0099,3,151.49,181.77,22.72,295.42,2026-05-06,CASH,DELTA
ORD202605060000065,CUST004781,PROD00606,STORE0087,2,1839.34,183.04,183.93,3679.57,2026-05-06,NETBANKING,DELTA
ORD202605060000066,CUST004641,PROD00493,STORE0019,5,4142.83,199.98,1035.71,21549.88,2026-05-06,NETBANKING,DELTA
ORD202605060000067,CUST001375,PROD00015,STORE0037,5,3576.75,136.79,894.19,18641.15,2026-05-06,CARD,DELTA
ORD202605060000068,CUST001597,PROD00155,STORE0086,5,3733.12,170.42,933.28,19428.46,2026-05-06,NETBANKING,DELTA
ORD202605060000069,CUST001186,PROD00097,STORE0072,3,792.82,74.23,118.92,2423.15,2026-05-06,CARD,DELTA
ORD202605060000070,CUST002748,PROD00891,STORE0071,2,3713.75,73.52,371.38,7725.36,2026-05-06,NETBANKING,DELTA
ORD202605060000071,CUST004074,PROD00232,STORE0021,1,3725.91,141.12,186.3,3771.09,2026-05-06,NETBANKING,DELTA
ORD202605060000072,CUST003319,PROD00653,STORE0076,3,3386.3,74.31,507.95,10592.54,2026-05-06,CARD,DELTA
ORD202605060000073,CUST001112,PROD00243,STORE0055,5,2396.15,15.99,599.04,12563.8,2026-05-06,CARD,DELTA
ORD202605060000074,CUST004259,PROD00689,STORE0066,1,2993.69,103.38,149.68,3039.99,2026-05-06,UPI,DELTA
ORD202605060000075,CUST002872,PROD00260,STORE0026,5,2493.94,41.29,623.49,13051.9,2026-05-06,UPI,DELTA
ORD202605060000076,CUST000010,PROD00904,STORE0043,5,2951.98,12.98,738.0,15484.92,2026-05-06,UPI,DELTA
ORD202605060000077,CUST004746,PROD00353,STORE0039,1,3444.56,78.82,172.23,3537.97,2026-05-06,CARD,DELTA
ORD202605060000078,CUST003023,PROD00901,STORE0037,1,797.21,182.46,39.86,654.61,2026-05-06,NETBANKING,DELTA
ORD202605060000079,CUST000690,PROD00800,STORE0087,5,2951.04,187.5,737.76,15305.46,2026-05-06,NETBANKING,DELTA
ORD202605060000080,CUST000690,PROD00550,STORE0052,2,3443.82,191.11,344.38,7040.91,2026-05-06,CARD,DELTA
ORD202605060000081,CUST004076,PROD00048,STORE0099,1,3422.51,9.89,171.13,3583.75,2026-05-06,CASH,DELTA
ORD202605060000082,CUST001382,PROD00747,STORE0053,3,2627.73,21.76,394.16,8255.59,2026-05-06,NETBANKING,DELTA
ORD202605060000083,CUST000690,PROD00506,STORE0090,4,185.57,174.36,37.11,605.03,2026-05-06,CASH,DELTA
ORD202605060000084,CUST001807,PROD00529,STORE0004,3,2942.67,78.0,441.4,9191.41,2026-05-06,UPI,DELTA
ORD202605060000085,CUST001957,PROD00729,STORE0009,2,4231.29,86.9,423.13,8798.81,2026-05-06,UPI,DELTA
ORD202605060000086,CUST002414,PROD00780,STORE0022,1,504.05,33.36,25.2,495.89,2026-05-06,CARD,DELTA
ORD202605060000087,CUST001151,PROD00145,STORE0069,2,3325.59,117.57,332.56,6866.17,2026-05-06,CASH,DELTA
ORD202605060000088,CUST001807,PROD00013,STORE0050,2,3595.57,112.06,359.56,7438.64,2026-05-06,NETBANKING,DELTA
ORD202605060000089,CUST000975,PROD00022,STORE0014,2,4641.42,182.73,464.14,9564.25,2026-05-06,UPI,DELTA
ORD202605060000090,CUST004021,PROD00619,STORE0015,1,1435.39,108.34,71.77,1398.82,2026-05-06,NETBANKING,DELTA
ORD202605060000091,CUST003819,PROD00750,STORE0049,3,2006.57,41.8,300.99,6278.9,2026-05-06,CARD,DELTA
ORD202605060000092,CUST002569,PROD00070,STORE0045,4,3566.12,167.19,713.22,14810.51,2026-05-06,UPI,DELTA
ORD202605060000093,CUST003020,PROD00127,STORE0065,3,1101.72,74.83,165.26,3395.59,2026-05-06,UPI,DELTA
ORD202605060000094,CUST001677,PROD00933,STORE0060,1,1906.94,60.55,95.35,1941.74,2026-05-06,CARD,DELTA
ORD202605060000095,CUST003590,PROD00563,STORE0010,2,2651.23,89.46,265.12,5478.12,2026-05-06,CASH,DELTA
ORD202605060000096,CUST002409,PROD00617,STORE0088,4,213.03,15.55,42.61,879.18,2026-05-06,UPI,DELTA
ORD202605060000097,CUST000505,PROD00926,STORE0006,3,1791.8,189.97,268.77,5454.2,2026-05-06,CARD,DELTA
ORD202605060000098,CUST001177,PROD00553,STORE0061,5,4042.77,165.82,1010.69,21058.72,2026-05-06,CASH,DELTA
ORD202605060000099,CUST003833,PROD00796,STORE0020,3,3272.3,139.31,490.85,10168.44,2026-05-06,UPI,DELTA
ORD202605060000100,CUST003305,PROD00138,STORE0014,3,2178.71,125.07,326.81,6737.87,2026-05-06,CASH,DELTA
ORD202605060000101,CUST000416,PROD00257,STORE0020,2,270.09,7.82,27.01,559.37,2026-05-06,NETBANKING,DELTA
ORD202605060000102,CUST000221,PROD00787,STORE0013,1,4684.1,179.75,234.21,4738.56,2026-05-06,CARD,DELTA
ORD202605060000103,CUST004042,PROD00819,STORE0046,5,134.9,80.85,33.73,627.38,2026-05-06,CASH,DELTA
ORD202605060000104,CUST003823,PROD00502,STORE0021,5,344.74,4.48,86.19,1805.41,2026-05-06,UPI,DELTA
ORD202605060000105,CUST001826,PROD00066,STORE0028,3,1633.04,98.13,244.96,5045.95,2026-05-06,CASH,DELTA
ORD202605060000106,CUST000943,PROD00267,STORE0062,4,4820.58,70.33,964.12,20176.11,2026-05-06,UPI,DELTA
ORD202605060000107,CUST004075,PROD00317,STORE0082,2,2474.57,74.16,247.46,5122.44,2026-05-06,CASH,DELTA
ORD202605060000108,CUST002317,PROD00119,STORE0096,1,4354.37,150.57,217.72,4421.52,2026-05-06,CASH,DELTA
ORD202605060000109,CUST002134,PROD00811,STORE0079,1,2289.92,177.23,114.5,2227.19,2026-05-06,UPI,DELTA
ORD202605060000110,CUST000242,PROD00800,STORE0050,3,2430.96,144.36,364.64,7513.16,2026-05-06,CASH,DELTA
ORD202605060000111,CUST003674,PROD00071,STORE0076,2,3787.21,166.21,378.72,7786.93,2026-05-06,UPI,DELTA
ORD202605060000112,CUST000921,PROD00956,STORE0095,5,3701.74,62.78,925.43,19371.35,2026-05-06,CASH,DELTA
ORD202605060000113,CUST003360,PROD00333,STORE0014,3,3986.65,124.59,598.0,12433.36,2026-05-06,CARD,DELTA
ORD202605060000114,CUST000381,PROD00460,STORE0053,4,1916.37,178.35,383.27,7870.4,2026-05-06,CASH,DELTA
ORD202605060000115,CUST003302,PROD00963,STORE0045,3,4864.81,72.44,729.72,15251.71,2026-05-06,CARD,DELTA
ORD202605060000116,CUST001990,PROD00299,STORE0055,2,3554.4,39.09,355.44,7425.15,2026-05-06,UPI,DELTA
ORD202605060000117,CUST004536,PROD00176,STORE0009,3,3061.17,52.89,459.18,9589.8,2026-05-06,NETBANKING,DELTA
ORD202605060000118,CUST002424,PROD00218,STORE0052,4,4805.75,139.68,961.15,20044.47,2026-05-06,UPI,DELTA
ORD202605060000119,CUST002822,PROD00146,STORE0036,4,3512.24,16.08,702.45,14735.33,2026-05-06,CASH,DELTA
ORD202605060000120,CUST001656,PROD00662,STORE0030,4,3119.81,103.8,623.96,12999.4,2026-05-06,CASH,DELTA
ORD202605060000121,CUST001071,PROD00318,STORE0022,5,1019.01,28.88,254.75,5320.92,2026-05-06,CASH,DELTA
ORD202605060000122,CUST000760,PROD00187,STORE0003,1,2259.72,71.67,112.99,2301.04,2026-05-06,UPI,DELTA
ORD202605060000123,CUST002410,PROD00575,STORE0027,3,2287.46,31.97,343.12,7173.53,2026-05-06,NETBANKING,DELTA
ORD202605060000124,CUST003229,PROD00225,STORE0029,3,1158.19,77.99,173.73,3570.31,2026-05-06,NETBANKING,DELTA
ORD202605060000125,CUST004148,PROD00512,STORE0060,5,3349.62,195.42,837.4,17390.08,2026-05-06,CASH,DELTA
ORD202605060000126,CUST002348,PROD00237,STORE0088,5,1820.41,108.81,455.1,9448.34,2026-05-06,CASH,DELTA
ORD202605060000127,CUST000763,PROD00103,STORE0082,5,2897.42,67.98,724.36,15143.48,2026-05-06,CARD,DELTA
ORD202605060000128,CUST000639,PROD00948,STORE0099,4,4947.49,8.41,989.5,20771.05,2026-05-06,NETBANKING,DELTA
ORD202605060000129,CUST000202,PROD00758,STORE0080,2,276.75,144.74,27.68,436.44,2026-05-06,NETBANKING,DELTA
ORD202605060000130,CUST002644,PROD00493,STORE0047,5,1514.28,142.9,378.57,7807.07,2026-05-06,CASH,DELTA
ORD202605060000131,CUST000200,PROD00727,STORE0028,1,2470.85,4.02,123.54,2590.37,2026-05-06,UPI,DELTA
ORD202605060000132,CUST001725,PROD00125,STORE0035,3,914.11,2.39,137.12,2877.06,2026-05-06,CARD,DELTA
ORD202605060000133,CUST000731,PROD00705,STORE0046,1,2240.22,194.65,112.01,2157.58,2026-05-06,CASH,DELTA
ORD202605060000134,CUST002770,PROD00272,STORE0008,3,4656.59,7.5,698.49,14660.76,2026-05-06,CARD,DELTA
ORD202605060000135,CUST003648,PROD00803,STORE0026,1,2901.91,7.77,145.1,3039.24,2026-05-06,CASH,DELTA
ORD202605060000136,CUST002079,PROD00270,STORE0006,5,1717.86,65.6,429.46,8953.16,2026-05-06,NETBANKING,DELTA
ORD202605060000137,CUST002551,PROD00979,STORE0045,3,4058.86,100.47,608.83,12684.94,2026-05-06,CARD,DELTA
ORD202605060000138,CUST001129,PROD00771,STORE0059,4,2793.25,106.58,558.65,11625.07,2026-05-06,UPI,DELTA
ORD202605060000139,CUST002483,PROD00986,STORE0053,4,1419.36,66.64,283.87,5894.67,2026-05-06,CASH,DELTA
ORD202605060000140,CUST003621,PROD00730,STORE0060,2,244.87,42.65,24.49,471.58,2026-05-06,UPI,DELTA
ORD202605060000141,CUST004354,PROD00478,STORE0064,2,601.83,47.25,60.18,1216.59,2026-05-06,CASH,DELTA
ORD202605060000142,CUST004729,PROD00128,STORE0052,4,723.83,57.28,144.77,2982.81,2026-05-06,NETBANKING,DELTA
ORD202605060000143,CUST000500,PROD00993,STORE0051,2,2115.2,95.56,211.52,4346.36,2026-05-06,CASH,DELTA
ORD202605060000144,CUST000511,PROD00361,STORE0036,4,1314.05,7.54,262.81,5511.47,2026-05-06,CASH,DELTA
ORD202605060000145,CUST004932,PROD00305,STORE0057,2,1413.73,138.9,141.37,2829.93,2026-05-06,UPI,DELTA
ORD202605060000146,CUST003005,PROD00531,STORE0011,5,1650.7,132.96,412.68,8533.22,2026-05-06,CASH,DELTA
ORD202605060000147,CUST002462,PROD00267,STORE0073,1,3161.25,192.71,158.06,3126.6,2026-05-06,UPI,DELTA
ORD202605060000148,CUST000251,PROD00989,STORE0034,1,3516.58,105.66,175.83,3586.75,2026-05-06,NETBANKING,DELTA
ORD202605060000149,CUST001528,PROD00865,STORE0098,5,3924.1,187.34,981.03,20414.19,2026-05-06,CARD,DELTA
ORD202605060000150,CUST004525,PROD00888,STORE0008,2,1303.94,98.5,130.39,2639.77,2026-05-06,NETBANKING,DELTA
ORD202605060000151,CUST000766,PROD00046,STORE0033,4,334.85,42.95,66.97,1363.42,2026-05-06,CASH,DELTA
ORD202605060000152,CUST001945,PROD00170,STORE0068,2,1575.63,164.22,157.56,3144.6,2026-05-06,CASH,DELTA
ORD202605060000153,CUST004965,PROD00378,STORE0011,5,1385.64,41.82,346.41,7232.79,2026-05-06,NETBANKING,DELTA
ORD202605060000154,CUST003218,PROD00704,STORE0068,5,3281.91,134.79,820.48,17095.24,2026-05-06,NETBANKING,DELTA
ORD202605060000155,CUST000791,PROD00011,STORE0062,5,2147.9,69.71,536.98,11206.77,2026-05-06,CASH,DELTA
ORD202605060000156,CUST001640,PROD00617,STORE0052,4,2380.56,1.77,476.11,9996.58,2026-05-06,CASH,DELTA
ORD202605060000157,CUST002234,PROD00389,STORE0016,4,1912.72,120.51,382.54,7912.91,2026-05-06,NETBANKING,DELTA
ORD202605060000158,CUST001378,PROD00163,STORE0073,4,3106.62,86.81,621.32,12960.99,2026-05-06,CASH,DELTA
ORD202605060000159,CUST000647,PROD00426,STORE0072,3,1538.67,142.47,230.8,4704.34,2026-05-06,CASH,DELTA
ORD202605060000160,CUST001170,PROD00520,STORE0007,2,481.46,131.26,48.15,879.81,2026-05-06,UPI,DELTA
ORD202605060000161,CUST002911,PROD00212,STORE0050,4,2824.62,43.49,564.92,11819.91,2026-05-06,CARD,DELTA
ORD202605060000162,CUST001393,PROD00792,STORE0019,5,696.99,96.18,174.25,3563.02,2026-05-06,UPI,DELTA
ORD202605060000163,CUST000329,PROD01000,STORE0012,3,910.05,156.57,136.51,2710.09,2026-05-06,NETBANKING,DELTA
ORD202605060000164,CUST000251,PROD00998,STORE0013,3,4958.73,150.65,743.81,15469.35,2026-05-06,UPI,DELTA
ORD202605060000165,CUST002180,PROD00253,STORE0090,5,4890.31,48.65,1222.58,25625.48,2026-05-06,NETBANKING,DELTA
ORD202605060000166,CUST004614,PROD00408,STORE0012,3,2017.6,26.94,302.64,6328.5,2026-05-06,UPI,DELTA
ORD202605060000167,CUST004743,PROD00691,STORE0074,2,4962.61,67.99,496.26,10353.49,2026-05-06,CASH,DELTA
ORD202605060000168,CUST001657,PROD00024,STORE0053,4,1419.84,170.14,283.97,5793.19,2026-05-06,UPI,DELTA
ORD202605060000169,CUST004549,PROD00888,STORE0084,4,350.05,179.22,70.01,1290.99,2026-05-06,UPI,DELTA
ORD202605060000170,CUST000689,PROD00447,STORE0054,5,3869.26,170.87,967.32,20142.75,2026-05-06,UPI,DELTA
ORD202605060000171,CUST004112,PROD00333,STORE0024,4,1044.86,7.97,208.97,4380.44,2026-05-06,CASH,DELTA
ORD202605060000172,CUST000208,PROD00819,STORE0027,3,65.86,120.89,9.88,86.57,2026-05-06,UPI,DELTA
ORD202605060000173,CUST000765,PROD00316,STORE0073,2,3306.16,60.05,330.62,6882.89,2026-05-06,NETBANKING,DELTA
ORD202605060000174,CUST003921,PROD00176,STORE0088,2,1007.34,1.06,100.73,2114.35,2026-05-06,CASH,DELTA
ORD202605060000175,CUST000151,PROD00360,STORE0031,5,2716.47,45.6,679.12,14215.87,2026-05-06,CASH,DELTA
ORD202605060000176,CUST001228,PROD00866,STORE0037,5,4532.86,87.96,1133.21,23709.55,2026-05-06,UPI,DELTA
ORD202605060000177,CUST001576,PROD00857,STORE0094,3,1863.96,165.0,279.59,5706.47,2026-05-06,CASH,DELTA
ORD202605060000178,CUST003881,PROD00574,STORE0028,5,2206.74,11.02,551.68,11574.36,2026-05-06,UPI,DELTA
ORD202605060000179,CUST004066,PROD00819,STORE0093,4,2833.95,98.65,566.79,11803.94,2026-05-06,UPI,DELTA
ORD202605060000180,CUST000240,PROD00782,STORE0052,3,4028.5,195.32,604.27,12494.45,2026-05-06,CARD,DELTA
ORD202605060000181,CUST004972,PROD00322,STORE0024,2,3239.0,94.62,323.9,6707.28,2026-05-06,CASH,DELTA
ORD202605060000182,CUST004871,PROD00423,STORE0099,3,1276.9,55.42,191.54,3966.82,2026-05-06,CASH,DELTA
ORD202605060000183,CUST003413,PROD00777,STORE0028,5,4871.81,120.57,1217.95,25456.43,2026-05-06,UPI,DELTA
ORD202605060000184,CUST004944,PROD00248,STORE0046,3,845.51,68.61,126.83,2594.75,2026-05-06,NETBANKING,DELTA
ORD202605060000185,CUST003210,PROD00085,STORE0072,4,1236.83,30.65,247.37,5164.04,2026-05-06,CARD,DELTA
ORD202605060000186,CUST000708,PROD00681,STORE0053,4,479.28,26.65,95.86,1986.33,2026-05-06,UPI,DELTA
ORD202605060000187,CUST004408,PROD00337,STORE0100,3,3484.02,76.49,522.6,10898.17,2026-05-06,UPI,DELTA
ORD202605060000188,CUST001340,PROD00347,STORE0073,5,2592.79,52.65,648.2,13559.5,2026-05-06,UPI,DELTA
ORD202605060000189,CUST002824,PROD01000,STORE0010,5,4846.16,94.94,1211.54,25347.4,2026-05-06,CARD,DELTA
ORD202605060000190,CUST002406,PROD00454,STORE0027,4,4388.87,96.34,877.77,18336.91,2026-05-06,NETBANKING,DELTA
ORD202605060000191,CUST001346,PROD00647,STORE0052,2,4161.84,41.45,416.18,8698.41,2026-05-06,UPI,DELTA
ORD202605060000192,CUST004334,PROD00133,STORE0033,1,3471.21,26.74,173.56,3618.03,2026-05-06,CARD,DELTA
ORD202605060000193,CUST004936,PROD00881,STORE0064,3,280.62,180.95,42.09,703.0,2026-05-06,NETBANKING,DELTA
ORD202605060000194,CUST003019,PROD00382,STORE0007,1,4035.32,54.34,201.77,4182.75,2026-05-06,UPI,DELTA
ORD202605060000195,CUST001781,PROD00302,STORE0027,3,3677.76,10.04,551.66,11574.9,2026-05-06,UPI,DELTA
ORD202605060000196,CUST004735,PROD00871,STORE0051,5,4995.46,90.91,1248.87,26135.26,2026-05-06,CASH,DELTA
ORD202605060000197,CUST003169,PROD00349,STORE0030,3,2571.37,7.73,385.71,8092.09,2026-05-06,CARD,DELTA
ORD202605060000198,CUST002903,PROD00304,STORE0029,4,1604.5,84.29,320.9,6654.61,2026-05-06,CARD,DELTA
ORD202605060000199,CUST001163,PROD00315,STORE0069,5,3680.08,41.99,920.02,19278.43,2026-05-06,CARD,DELTA
ORD202605060000200,CUST004419,PROD00235,STORE0039,5,2626.24,34.12,656.56,13753.64,2026-05-06,CARD,DELTA
ORD202605060000201,CUST001893,PROD00947,STORE0087,5,4562.95,104.45,1140.74,23851.04,2026-05-06,CASH,DELTA
ORD202605060000202,CUST000512,PROD00500,STORE0025,5,1745.15,90.27,436.29,9071.77,2026-05-06,CASH,DELTA
ORD202605060000203,CUST003202,PROD00615,STORE0053,3,4049.38,153.59,607.41,12601.96,2026-05-06,NETBANKING,DELTA
ORD202605060000204,CUST004034,PROD00047,STORE0056,4,4083.36,77.5,816.67,17072.61,2026-05-06,UPI,DELTA
ORD202605060000205,CUST002546,PROD00470,STORE0046,1,1935.87,68.94,96.79,1963.72,2026-05-06,CARD,DELTA
ORD202605060000206,CUST002836,PROD00735,STORE0072,4,284.25,175.04,56.85,1018.81,2026-05-06,CASH,DELTA
ORD202605060000207,CUST000555,PROD00605,STORE0082,1,419.75,197.45,20.99,243.29,2026-05-06,CASH,DELTA
ORD202605060000208,CUST002099,PROD00316,STORE0027,3,1615.98,88.06,242.4,5002.28,2026-05-06,CASH,DELTA
ORD202605060000209,CUST004015,PROD00700,STORE0043,1,2697.72,131.41,134.89,2701.2,2026-05-06,UPI,DELTA
ORD202605060000210,CUST000596,PROD00446,STORE0045,3,3700.77,66.85,555.12,11590.58,2026-05-06,CASH,DELTA
ORD202605060000211,CUST004938,PROD00006,STORE0055,4,2516.08,6.7,503.22,10560.84,2026-05-06,NETBANKING,DELTA
ORD202605060000212,CUST000616,PROD00361,STORE0026,3,1281.21,175.36,192.18,3860.45,2026-05-06,CASH,DELTA
ORD202605060000213,CUST004037,PROD00114,STORE0064,4,4683.8,16.28,936.76,19655.68,2026-05-06,NETBANKING,DELTA
ORD202605060000214,CUST004750,PROD00133,STORE0078,2,1230.0,149.99,123.0,2433.01,2026-05-06,UPI,DELTA
ORD202605060000215,CUST002445,PROD00218,STORE0022,2,3151.62,82.1,315.16,6536.3,2026-05-06,CARD,DELTA
ORD202605060000216,CUST002370,PROD00182,STORE0080,4,2463.41,13.41,492.68,10332.91,2026-05-06,CASH,DELTA
ORD202605060000217,CUST004669,PROD00713,STORE0011,4,2181.54,119.81,436.31,9042.66,2026-05-06,CARD,DELTA
ORD202605060000218,CUST002079,PROD00338,STORE0016,1,1196.95,143.5,59.85,1113.3,2026-05-06,UPI,DELTA
