store_id,store_name,city,state,region,created_date,load_type
STORE0058,Sharma LLC,Fatehpur,Uttarakhand,North,2026-05-01,FULL
STORE0059,Singhal-Sarkar,Siwan,Tamil Nadu,West,2026-05-01,FULL
STORE0060,Nagar Inc,Secunderabad,Haryana,South,2026-05-01,FULL
STORE0061,"Purohit, Anne and Dada",Hazaribagh,West Bengal,West,2026-05-01,FULL
STORE0062,Dubey Inc,Tiruvottiyur,West Bengal,South,2026-05-01,FULL
STORE0063,Bhagat Inc,Pudukkottai,West Bengal,South,2026-05-01,FULL
STORE0064,"Buch, Pall and Pau",Jehanabad,Haryana,North,2026-05-01,FULL
STORE0065,"Dugar, Dhawan and Kuruvilla",Imphal,Kerala,North,2026-05-01,FULL
STORE0066,Nigam-Goswami,Bokaro,Chhattisgarh,South,2026-05-01,FULL
STORE0067,Mitter Ltd,Parbhani,Tripura,North,2026-05-01,FULL
STORE0068,Gupta PLC,Guwahati,Manipur,West,2026-05-01,FULL
STORE0069,Issac-Joshi,Mathura,Nagaland,East,2026-05-01,FULL
STORE0070,Nadig Group,Dharmavaram,Arunachal Pradesh,West,2026-05-01,FULL
STORE0071,Arya-Palla,Khora ,Kerala,South,2026-05-01,FULL
STORE0072,"Bhattacharyya, Arya and Sankar",Bulandshahr,Bihar,West,2026-05-01,FULL
STORE0073,"Bhatt, Dey and Venkataraman",Jalna,Arunachal Pradesh,South,2026-05-01,FULL
STORE0074,"Thakkar, Chowdhury and Bhatt",Jhansi,Andhra Pradesh,West,2026-05-01,FULL
STORE0075,"Prashad, Karnik and Wali",Coimbatore,Himachal Pradesh,West,2026-05-01,FULL
STORE0076,Deo-Sastry,Bhavnagar,Mizoram,North,2026-05-01,FULL
STORE0077,"Keer, Amble and Grover",Pimpri-Chinchwad,Kerala,South,2026-05-01,FULL
STORE0078,Borde PLC,Nashik,Karnataka,South,2026-05-01,FULL
STORE0079,Ben-Gupta,Aurangabad,Bihar,East,2026-05-01,FULL
STORE0080,Rege Inc,Bongaigaon,Kerala,West,2026-05-01,FULL
STORE0081,"Wable, Sama and Nanda",Pudukkottai,Nagaland,West,2026-05-01,FULL
STORE0082,Magar LLC,Hindupur,West Bengal,East,2026-05-01,FULL
STORE0083,Sangha LLC,Jaunpur,Assam,South,2026-05-01,FULL
STORE0084,"Grover, Tata and Behl",Nizamabad,Mizoram,West,2026-05-01,FULL
STORE0085,Mohan-Wagle,Vadodara,Karnataka,East,2026-05-01,FULL
STORE0086,Rai-Dua,Bhopal,West Bengal,East,2026-05-01,FULL
STORE0087,"Batta, Prabhu and Ramanathan",Bhimavaram,Rajasthan,East,2026-05-01,FULL
STORE0088,Magar-Raman,Karimnagar,Andhra Pradesh,West,2026-05-01,FULL
STORE0089,Devi Ltd,Thanjavur,Arunachal Pradesh,South,2026-05-01,FULL
STORE0090,Rana-Prasad,Bhiwani,Uttarakhand,South,2026-05-01,FULL
STORE0091,Parsa Inc,Tadipatri,Andhra Pradesh,East,2026-05-01,FULL
STORE0092,"Patel, Pradhan and Shankar",Ozhukarai,Meghalaya,East,2026-05-01,FULL
STORE0093,"Kala, Soni and Kothari",Madanapalle,Jharkhand,South,2026-05-01,FULL
STORE0094,Lata-Kara,Saharanpur,Odisha,East,2026-05-01,FULL
STORE0095,"Barman, Halder and Nanda",Gwalior,Tamil Nadu,East,2026-05-01,FULL
STORE0096,"Ram, Badami and Dash",Durgapur,Manipur,South,2026-05-01,FULL
STORE0097,Magar-Tank,Aizawl,Goa,West,2026-05-01,FULL
STORE0098,Kari-Ganguly,Salem,Assam,East,2026-05-01,FULL
STORE0099,"Bawa, De and Sarkar",Guntur,Haryana,West,2026-05-01,FULL
STORE0100,Sengupta-Handa,Muzaffarnagar,West Bengal,East,2026-05-01,FULL
